상호명,시도명,시군구명,주소,
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,금천구,서울특별시 금천구,1
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,서대문구,서울특별시 서대문구,4
빽다방,부산광역시,수영구,부산광역시 수영구,1
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,성북구,서울특별시 성북구,6
빽다방,서울특별시,동작구,서울특별시 동작구,4
빽다방,부산광역시,동래구,부산광역시 동래구,2
빽다방,부산광역시,금정구,부산광역시 금정구,3
빽다방,서울특별시,성북구,서울특별시 성북구,6
빽다방,서울특별시,서대문구,서울특별시 서대문구,4
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,동대문구,서울특별시 동대문구,5
빽다방,서울특별시,성북구,서울특별시 성북구,6
빽다방,서울특별시,강동구,서울특별시 강동구,5
빽다방,서울특별시,중구,서울특별시 중구,7
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,노원구,서울특별시 노원구,5
빽다방,서울특별시,노원구,서울특별시 노원구,5
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,부산광역시,기장군,부산광역시 기장군,1
빽다방,서울특별시,성동구,서울특별시 성동구,4
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,관악구,서울특별시 관악구,5
빽다방,서울특별시,중랑구,서울특별시 중랑구,2
빽다방,부산광역시,북구,부산광역시 북구,3
빽다방,부산광역시,부산진구,부산광역시 부산진구,3
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,중구,서울특별시 중구,7
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,성북구,서울특별시 성북구,6
빽다방,서울특별시,강서구,서울특별시 강서구,8
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,강서구,서울특별시 강서구,8
빽다방,서울특별시,성동구,서울특별시 성동구,4
빽다방,서울특별시,관악구,서울특별시 관악구,5
